Name;XT;Module;Channel

CEMENT_M_1;AI;1;1
WATER_M_1;AI;1;2
ADDITIONS_M_1;AI;1;3
FILLERS_M_1;AI;1;4

MIXER_I_1;AI;2;1

DCEMENT_CLOSED_1;DI;3;1
DWATER_CLOSED_1;DI;3;2
DADDITIONS_CLOSED_1;DI;3;3
WATER_CLOSED_1;DI;3;4
ADDITION_CLOSED_1;DI;3;5
FILLER_CLOSED_1;DI;3;6
FILLER_CLOSED_2;DI;3;7
FILLER_CLOSED_3;DI;3;8

FILLER_CLOSED_4;DI;4;1
MIXER_ISON_1;DI;4;2
MIXER_CLOSED_1;DI;4;3
MIXER_OPENED_1;DI;4;4
ELEVATOR_BELOW_1;DI;4;5
ELEVATOR_ABOVE_1;DI;4;6
CONVEYOR_ISON_1;DI;4;7
AUGER_ISON_1;DI;4;8

WPUMP_ISON_1;DI;5;1
APUMP_ISON_1;DI;5;2
APUMP_ISON_2;DI;5;3
APUMP_ISON_3;DI;5;4
FLOW_DIR_OUT;DI;5;5
FLOW_DIR_IN;DI;5;6

DCEMENT_OPEN_1;DO;6;1
DWATER_OPEN_1;DO;6;2
DADDITIONS_OPEN_1;DO;6;3
FILLER_OPEN_1;DO;6;4
FILLER_OPEN_2;DO;6;5
FILLER_OPEN_3;DO;6;6
FILLER_OPEN_4;DO;6;7
MIXER_OPEN_1;DO;6;8

WATER_OPEN_1;DO;7;1
CONVEYOR_ON_1;DO;7;2
ELEVATOR_DOWN_1;DO;7;3
ELEVATOR_UP_1;DO;7;4
AUGER_ON_1;DO;7;5
MIXER_ON_1;DO;7;6
VIBRATOR_ON_1;DO;7;7
VIBRATOR_ON_2;DO;7;8

DF_VIBRATOR_ON_1;DO;8;1
S_VIBRATOR_ON_1;DO;8;2
WPUMP_ON_1;DO;8;3
APUMP_ON_1;DO;8;4
APUMP_ON_2;DO;8;5
APUMP_ON_3;DO;8;6
FLOW_DIR;DO;8;7
BELL_ON_1;DO;8;8
